"efternamn","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Lund",10493,10454,10436,10407,10413,10410,10406,10475,10499,10556,10609,10635,10661,10667,10648,10682,10654,10657,10625,10606,10568,10565,10537,10541,10597,10630,10613,10605,10614,10647,10667,10709,10759,10760,10753,10779,10769,10671,10604,10526
"Lundberg",22350,22346,22364,22311,22316,22289,22296,22293,22319,22335,22420,22489,22570,22579,22548,22576,22457,22429,22315,22225,22142,22044,21979,21941,21904,21829,21820,21720,21658,21577,21496,21467,21341,21261,21198,21102,21025,20909,20763,20665
"Lundgren",21849,21784,21719,21694,21662,21625,21607,21538,21576,21604,21649,21743,21778,21773,21828,21788,21761,21676,21575,21478,21411,21355,21295,21249,21193,21105,21035,20976,20959,20899,20846,20786,20724,20626,20571,20453,20376,20272,20114,19995
"Lundin",15241,15261,15263,15280,15316,15318,15295,15288,15306,15396,15460,15496,15533,15508,15535,15583,15592,15556,15492,15502,15446,15425,15371,15328,15318,15318,15291,15279,15241,15230,15175,15149,15108,15117,15100,15059,15052,14964,14879,14755
"Lundqvist",21181,21110,21110,21115,21037,21013,21032,21058,21039,21057,21078,21158,21176,21187,21195,21179,21145,21066,20935,20881,20797,20743,20658,20588,20582,20466,20453,20369,20335,20326,20306,20226,20182,20152,20144,20114,20025,19903,19758,19617
"Lundström",12659,12634,12647,12642,12610,12613,12628,12608,12616,12652,12655,12653,12642,12612,12625,12607,12564,12533,12476,12389,12374,12333,12299,12258,12293,12219,12239,12227,12197,12157,12156,12101,12047,11993,11944,11863,11807,11761,11625,11527
"Löfgren",12989,13055,13018,12988,13010,13038,13016,13063,13084,13140,13093,13178,13196,13209,13228,13205,13169,13125,13074,13028,13006,12995,12987,12967,12936,12919,12902,12886,12853,12840,12851,12877,12859,12819,12804,12847,12862,12765,12712,12655
"Magnusson",30652,30521,30434,30268,30190,30108,30049,29946,29892,29856,29816,29759,29704,29588,29452,29321,29237,29079,28915,28720,28549,28312,28156,28005,27833,27656,27528,27389,27256,27098,26935,26705,26562,26410,26256,26099,25964,25707,25393,25109
"Martinsson",9531,9546,9598,9575,9614,9617,9603,9656,9673,9733,9769,9819,9868,9908,9903,9933,9927,9908,9885,9888,9856,9841,9837,9851,9831,9803,9805,9786,9765,9776,9730,9665,9640,9600,9596,9519,9483,9421,9349,9270
"Mattsson",22900,22854,22755,22613,22518,22449,22436,22372,22294,22272,22217,22205,22211,22179,22127,22015,21912,21812,21643,21497,21453,21334,21221,21147,21034,20924,20811,20707,20599,20485,20379,20255,20126,19986,19830,19686,19523,19349,19133,18926
"Mohamed",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9776,10736,11574,12607,13637,14518,15253
"Månsson",10821,10779,10749,10698,10667,10611,10565,10501,10500,10497,10511,10464,10435,10385,10347,10320,10239,10180,10110,10052,10009,9987,9968,9908,9895,9844,9768,9684,9644,9603,9550,9466,9391,9351,9260,9205,9157,9085,8996,8896
"Mårtensson",14359,14357,14307,14216,14202,14139,14135,14115,14103,14056,14073,14056,14036,13977,13913,13859,13783,13693,13547,13480,13345,13311,13260,13222,13121,13050,12990,12901,12817,12754,12679,12620,12508,12464,12373,12303,12194,12041,11879,11717
"Nilsson",224797,223888,222846,220986,219697,218259,216999,215678,214392,212689,211574,210222,209131,207560,206254,204596,202846,200948,198975,196967,195026,193219,191320,189443,187454,185392,183518,181515,179377,177435,175392,173483,171360,169160,167207,165106,163029,160687,158119,155686
"Norberg",9013,8996,8965,8970,8965,8994,8995,9019,9035,9079,9077,9087,9112,9127,9144,9117,9103,9114,9113,9081,9137,9099,9095,9062,9040,9014,9011,8983,8964,8929,8916,8855,8834,8822,8807,8780,8751,8714,8655,8587
"Nordin",11059,11025,11020,11022,11005,10998,11000,10976,10989,10991,11012,11074,11089,11086,11050,11045,11032,11006,10986,10934,10885,10859,10867,10852,10831,10864,10840,10812,10808,10780,10779,10779,10777,10765,10735,10698,10659,10611,10578,10514
"Nordström",13052,13043,13037,12995,12928,12903,12866,12859,12875,12892,12885,12854,12859,12813,12787,12776,12709,12622,12564,12526,12474,12447,12421,12403,12415,12393,12355,12290,12228,12259,12218,12204,12193,12152,12156,12134,12143,12105,12040,11969
"Nyberg",12928,12907,12894,12902,12926,12895,12937,12975,12975,12995,13011,13048,13032,13040,13040,13060,13054,12987,12895,12859,12844,12827,12793,12803,12794,12768,12720,12758,12738,12710,12708,12715,12682,12621,12623,12587,12578,12518,12419,12368
"Nyström",14074,14078,14099,14064,14042,14018,14029,14034,14058,14093,14173,14185,14208,14164,14159,14126,14084,13997,13934,13815,13745,13700,13643,13572,13487,13480,13486,13423,13350,13346,13308,13295,13301,13270,13318,13292,13257,13174,13105,13051
"Olofsson",29851,29884,29892,29839,29860,29823,29743,29688,29670,29724,29725,29790,29754,29694,29632,29519,29390,29198,29022,28841,28674,28467,28231,28056,27938,27769,27551,27395,27265,27051,26820,26611,26424,26184,25996,25761,25480,25129,24790,24493
"Olsson",153968,153139,152385,151051,150051,148931,147886,146680,145603,144475,143484,142626,141699,140594,139543,138360,136978,135666,134044,132493,131161,129853,128514,127146,125877,124494,122974,121588,120117,118772,117401,115828,114280,112764,111402,109964,108599,106945,105288,103689
"Persson",143902,143111,142387,141224,140358,139579,138690,137745,136709,135641,134793,133806,133032,132108,131134,129887,128730,127278,125836,124465,123165,121941,120820,119629,118466,117229,115959,114626,113215,111942,110618,109320,107911,106633,105390,104111,102721,101185,99592,98019
"Pettersson",133148,132300,131357,129927,128759,127584,126400,125288,124234,123187,122055,121225,120453,119515,118466,117270,116101,114901,113363,112083,110877,109683,108413,107345,106007,104767,103643,102311,101050,99822,98475,97232,96011,94794,93559,92275,91137,89751,88334,87169
"Pålsson",13093,13055,13039,12988,12982,12958,12926,12899,12871,12878,12874,12837,12818,12774,12735,12674,12626,12545,12499,12466,12414,12350,12303,12234,12232,12167,12109,12045,11983,11927,11848,11760,11686,11617,11563,11514,11460,11317,11234,11112
"Samuelsson",15897,15910,15855,15798,15784,15764,15739,15707,15660,15674,15642,15608,15602,15613,15539,15499,15433,15374,15279,15240,15217,15147,15034,14981,14888,14853,14795,14742,14662,14574,14492,14417,14334,14257,14194,14108,14030,13892,13761,13643
"Sandberg",18226,18184,18175,18144,18114,18126,18173,18151,18177,18188,18237,18203,18200,18168,18183,18152,18127,18106,18048,18016,18014,17956,17989,17961,17952,17920,17853,17858,17829,17832,17813,17802,17798,17796,17732,17697,17662,17582,17505,17406
"Sandström",10699,10689,10679,10664,10683,10740,10754,10762,10769,10802,10838,10864,10879,10878,10865,10864,10851,10812,10785,10782,10795,10778,10789,10830,10866,10874,10857,10829,10807,10747,10767,10798,10828,10827,10813,10793,10804,10788,10689,10676
"Sjöberg",16826,16795,16806,16750,16789,16738,16724,16658,16697,16780,16768,16824,16878,16879,16902,16896,16906,16860,16751,16747,16692,16675,16619,16609,16602,16598,16588,16601,16587,16558,16553,16519,16512,16494,16454,16421,16414,16326,16259,16187
"Sjögren",10241,10208,10208,10211,10220,10192,10228,10229,10240,10250,10267,10283,10322,10342,10356,10355,10319,10266,10211,10145,10117,10096,10103,10081,10029,10027,10000,9978,9974,9956,9897,9842,9850,9820,9812,9796,9804,9738,9705,9628
"Ström",11572,11568,11498,11454,11476,11460,11437,11394,11394,11432,11463,11445,11449,11434,11397,11340,11321,11280,11239,11236,11190,11155,11092,11044,10981,10944,10939,10896,10841,10761,10732,10703,10669,10637,10613,10577,10567,10501,10420,10299
"Strömberg",9133,9140,9130,9122,9108,9152,9163,9153,9135,9170,9188,9204,9242,9274,9288,9286,9313,9287,9262,9224,9221,9193,9190,9250,9250,9239,9238,9226,9199,9155,9159,9120,9131,9080,9112,9113,9082,9026,8992,8930
"Sundberg",10640,10617,10620,10584,10549,10560,10569,10591,10619,10676,10682,10689,10712,10722,10725,10712,10703,10601,10568,10529,10469,10463,10442,10399,10370,10348,10347,10311,10294,10260,10221,10173,10138,10086,10060,9990,9931,9863,9785,9696
"Sundqvist",8926,8897,8878,8888,8903,8875,8873,8881,8913,8898,8874,8880,8885,8912,8896,8866,8861,8893,8854,8823,8823,8800,8794,8782,8754,8729,8715,8689,8678,8702,8714,8659,8644,..,..,..,..,..,..,..
